domain_name,response_code,blockpage,cloudflare_blockpage,number_of_script_tags,dns_name,address,ip_response_code,ip_blockpage,ip_cloudflare_blockpage,ip_number_of_script_tags,default_dns,isp_name_speedtest,time_date,domain_is_live_anywhere,domain_request_works,ip_is_live_anywhere,ip_is_live_in_other_ISPs,ip_request_works,default_dns_returns_different_ip_addresses,default_dns_returns_different_script_tags,public_dns_ips_not_mode
http://walletconnectsync.net,200,0,0,0.0,GoogleDNS,172.67.139.254,403,False,True,1.0,0,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,GoogleDNS,104.21.49.8,403,False,True,1.0,0,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,Cloudflare,104.21.49.8,403,False,True,1.0,0,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,Cloudflare,172.67.139.254,403,False,True,1.0,0,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,MyDNS,104.21.49.8,403,False,True,1.0,1,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,MyDNS,172.67.139.254,403,False,True,1.0,1,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,GoogleDNS,172.67.139.254,403,False,True,1.0,0,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,GoogleDNS,104.21.49.8,403,False,True,1.0,0,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,Cloudflare,172.67.139.254,403,False,True,1.0,0,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,Cloudflare,104.21.49.8,403,False,True,1.0,0,Optus,8/06/2021 16:57,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,MyDNS,104.21.49.8,403,False,True,1.0,1,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,MyDNS,172.67.139.254,403,False,True,1.0,1,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,GoogleDNS,172.67.139.254,403,False,True,1.0,0,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,GoogleDNS,104.21.49.8,403,False,True,1.0,0,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,Cloudflare,172.67.139.254,403,False,True,1.0,0,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://walletconnectsync.net,200,0,0,0.0,Cloudflare,104.21.49.8,403,False,True,1.0,0,Telstra Internet,8/06/2021 17:06,True,True,False,False,False,False,False,False
http://www.facebook.com/,200,0,0,17.0,GoogleDNS,157.240.8.35,200,False,False,17.0,0,Optus,8/06/2021 13:42,True,True,True,False,True,False,False,False
http://www.facebook.com/,200,0,0,17.0,Cloudflare,157.240.8.35,200,False,False,17.0,0,Optus,8/06/2021 13:42,True,True,True,False,True,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,MyDNS,20.60.128.65,400,False,False,0.0,1,Optus,8/06/2021 14:43,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,GoogleDNS,20.60.128.65,400,False,False,0.0,0,Optus,8/06/2021 14:43,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,Cloudflare,20.60.128.65,400,False,False,0.0,0,Optus,8/06/2021 14:43,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,MyDNS,20.60.128.65,400,False,False,0.0,1,Australian Academic and Research Network,8/06/2021 15:10,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,GoogleDNS,20.60.128.65,400,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 15:10,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,Cloudflare,20.60.128.65,400,False,False,0.0,0,Australian Academic and Research Network,8/06/2021 15:10,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,MyDNS,20.60.128.65,400,False,False,0.0,1,Telstra Internet,8/06/2021 15:39,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,GoogleDNS,20.60.128.65,400,False,False,0.0,0,Telstra Internet,8/06/2021 15:39,True,True,False,False,False,False,False,False
https://acrobat.z13.web.core.windows.net/,200,0,0,1.0,Cloudflare,20.60.128.65,400,False,False,0.0,0,Telstra Internet,8/06/2021 15:39,True,True,False,False,False,False,False,False
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9.0,MyDNS,20.40.202.9,404,False,False,1.0,1,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
https://acrobat-cloud-services.azurewebsites.net,200,0,0,9.0,GoogleDNS,20.40.202.9,404,False,False,1.0,0,Australian Academic and Research Network,8/06/2021 16:48,True,True,False,False,False,False,False,False
