domain_name,response_code,blockpage,cloudflare_blockpage,number_of_script_tags,isp_name_speedtest,time_date,address,ip_response_code,ip_blockpage,ip_cloudflare_blockpage,ip_number_of_script_tags,dns_name,default_dns,domain_is_live_anywhere,domain_request_works,ip_is_live_anywhere,ip_is_live_in_other_ISPs,ip_request_works,default_dns_returns_different_ip_addresses,default_dns_returns_different_script_tags,public_dns_ips_not_mode,ip_number_of_script_tags_modal,domain_number_of_script_tags_modal
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,3.106.3.198,451,True,False,1.0,MyDNS,1,True,False,False,False,False,True,True,True,True,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.55.47.48,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.153.204.20,200,False,False,32.0,MyDNS,1,True,False,True,False,True,True,True,True,True,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.253.238.204,451,True,False,1.0,MyDNS,1,True,False,True,False,False,True,True,True,True,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.66.245.151,403,False,False,0.0,MyDNS,1,True,False,False,False,False,True,True,True,True,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.153.157.207,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,3.25.33.182,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.79.151.102,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,52.65.137.153,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,52.64.187.135,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.211.83.158,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.210.160.129,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,185.51.247.239,403,False,False,0.0,GoogleDNS,0,True,False,False,False,False,True,True,False,True,False
https://lookmovie.ag,ERROR,0,0,,Optus,2021-06-07 17:27:25,185.51.247.239,403,False,False,0.0,Cloudflare,0,True,False,False,False,False,True,True,False,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,3.106.3.198,451,True,False,1.0,MyDNS,1,True,False,False,False,False,True,True,True,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.55.47.48,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.153.204.20,200,False,False,32.0,MyDNS,1,True,False,True,False,True,True,True,True,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.253.238.204,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,3.25.33.182,451,True,False,1.0,MyDNS,1,True,False,False,False,False,True,True,True,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.66.245.151,403,False,False,0.0,MyDNS,1,True,False,False,False,False,True,True,True,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.153.157.207,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.79.151.102,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,52.65.137.153,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,52.64.187.135,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.211.83.158,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.210.160.129,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.66.147.144,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.66.190.248,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,172.67.152.196,403,False,True,1.0,GoogleDNS,0,True,False,False,False,False,True,True,False,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,104.21.64.163,403,False,True,1.0,GoogleDNS,0,True,False,False,False,False,True,True,False,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,104.21.64.163,403,False,True,1.0,Cloudflare,0,True,False,False,False,False,True,True,False,True,False
https://katcr.to/,ERROR,0,0,,Optus,2021-06-07 17:27:25,172.67.152.196,403,False,True,1.0,Cloudflare,0,True,False,False,False,False,True,True,False,True,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,52.64.187.135,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.211.83.158,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.210.160.129,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.66.147.144,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.66.190.248,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,3.106.3.198,451,True,False,1.0,MyDNS,1,True,False,False,False,False,True,True,True,True,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,13.55.47.48,ERROR,False,False,,MyDNS,1,True,False,True,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.153.204.20,200,False,False,32.0,MyDNS,1,True,False,True,False,True,True,True,True,True,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.253.238.204,451,True,False,1.0,MyDNS,1,True,False,True,False,False,True,True,True,True,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.66.245.151,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,3.25.33.182,403,False,False,0.0,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.153.157.207,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,54.79.151.102,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,52.65.137.153,ERROR,False,False,,MyDNS,1,True,False,False,False,False,True,True,True,False,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,104.21.67.160,403,False,True,1.0,GoogleDNS,0,True,False,False,False,False,True,True,False,True,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,172.67.177.245,403,False,True,1.0,GoogleDNS,0,True,False,False,False,False,True,True,False,True,False
https://kat.sx/,ERROR,0,0,,Optus,2021-06-07 17:27:25,104.21.67.160,403,False,True,1.0,Cloudflare,0,True,False,False,False,False,True,True,False,True,False
