domain_name,response_code,blockpage,cloudflare_blockpage,number_of_script_tags,dns_name,address,ip_response_code,ip_blockpage,ip_cloudflare_blockpage,ip_number_of_script_tags,default_dns,isp_name_speedtest,time_date
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,54.153.204.20,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,54.66.245.151,451,TRUE,FALSE,1,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,3.25.33.182,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,54.153.157.207,403,FALSE,FALSE,0,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,54.79.151.102,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,52.65.137.153,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,52.64.187.135,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,13.211.83.158,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,13.210.160.129,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,MyDNS,54.66.147.144,ERROR,FALSE,FALSE,N/A,1,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,GoogleDNS,104.21.85.65,403,FALSE,TRUE,1,0,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,GoogleDNS,172.67.203.15,403,FALSE,TRUE,1,0,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,Cloudflare,172.67.203.15,403,FALSE,TRUE,1,0,Optus,8/06/2021 14:13
https://animehd47.com/,ERROR,0,0,N/A,Cloudflare,104.21.85.65,403,FALSE,TRUE,1,0,Optus,8/06/2021 14:13
https://clouddoc-authorize.firebaseapp.com,200,0,0,3,MyDNS,151.101.1.195,ERROR,FALSE,FALSE,N/A,1,Australian Academic and Research Network,8/06/2021 16:48
https://clouddoc-authorize.firebaseapp.com,200,0,0,3,MyDNS,151.101.65.195,ERROR,FALSE,FALSE,N/A,1,Australian Academic and Research Network,8/06/2021 16:48
https://clouddoc-authorize.firebaseapp.com,200,0,0,3,GoogleDNS,151.101.1.195,ERROR,FALSE,FALSE,N/A,0,Australian Academic and Research Network,8/06/2021 16:48
https://clouddoc-authorize.firebaseapp.com,200,0,0,3,GoogleDNS,151.101.65.195,ERROR,FALSE,FALSE,N/A,0,Australian Academic and Research Network,8/06/2021 16:48
https://clouddoc-authorize.firebaseapp.com,200,0,0,3,Cloudflare,151.101.1.195,ERROR,FALSE,FALSE,N/A,0,Australian Academic and Research Network,8/06/2021 16:48
